postal_code,place
L6S,Brampton
L6T,Brampton
L6V,Brampton
L6W,Brampton
L6X,Brampton
L6Y,Brampton
L6Z,Brampton
L7A,Brampton
L7B,King
L7C,Caledon
L7E,Bolton
L7G,Georgetown
L7J,Acton
L7K,Caledon
L7L,Burlington
L7M,Burlington
L7N,Burlington
L7P,Burlington
L7R,Burlington
L7S,Burlington
L7T,Burlington
L7V,Burlington
L8E,Stoney Creek
L8G,Stoney Creek
L8H,Hamilton
L8J,Stoney Creek
L8K,Hamilton
L8L,Hamilton
L8M,Hamilton
L8N,Hamilton
L8P,Hamilton
L8R,Hamilton
L8S,Hamilton
L8T,Hamilton
L8V,Hamilton
L8W,Hamilton
L9A,Hamilton
L9B,Hamilton
L9C,Hamilton
L9G,Ancaster
L9H,Dundas
L9J,Dundas
L9K,Ancaster
L9L,Port Perry
L9M,Penetanguishene
L9N,Holland Landing
L9P,Uxbridge
L9R,Alliston
L9S,Innisfil
L9T,Milton
L9V,Mono
L9W,Orangeville
L9X,Orangeville
L9Y,Clearview
L9Z,Wasaga Beach
M1B,Scarborough
M1C,Scarborough
M1E,Scarborough
M1G,Scarborough
M1H,Scarborough
M1J,Scarborough
M1K,
M1L,Scarborough
M1M,Scarborough
M1N,Scarborough
M1P,Scarborough
M1R,Scarborough
M1S,Scarborough
M1T,Scarborough
M1V,Scarborough
M1W,Scarborough
M1X,Scarborough
M2H,North York
M2J,
M2K,North York
M2L,Willowdale
M2M,North York
M2N,North York
M2P,North York
M2R,North York
M3A,North York
M3B,North York
M3C,North York
M3H,North York
M3J,North York
M3K,North York
M3L,North York
M3M,North York
M3N,North York
M4A,North York
M4B,East York
M4C,Toronto
M4E,Toronto
M4G,East York
M4H,Toronto
M4J,Toronto
M4K,Toronto
M4L,Toronto
M4M,Toronto
M4N,North York
M4P,Toronto
M4R,Toronto
M4S,Toronto
M4T,Toronto
M4V,Toronto
M4W,Toronto
M4X,Toronto
M4Y,Toronto
M5A,Toronto
M5B,Toronto
M5C,Toronto
M5E,Toronto
M5G,Toronto
M5H,Toronto
M5J,Toronto
M5K,Toronto
M5L,Toronto
M5M,
M5N,Toronto
M5P,Toronto
M5R,Toronto
M5S,Toronto
M5T,Toronto
M5V,Toronto
M5W,Toronto
M5X,Toronto
M6A,North York
M6B,Toronto
M6C,Toronto
M6E,Toronto
M6G,Toronto
M6H,Toronto
M6J,Toronto
M6K,Toronto
M6L,Toronto
M6M,Toronto
M6N,
M6P,Toronto
M6R,Toronto
M6S,Toronto
M7A,Toronto
M7X,Toronto
M7Y,Toronto
M7Z,Toronto
M8V,Etobicoke
M8W,Etobicoke
M8X,Etobicoke
M8Y,Etobicoke
M8Z,Etobicoke
M9A,Etobicoke
M9B,Etobicoke
M9C,Etobicoke
M9L,North York
M9M,North York
M9N,York
M9P,Etobicoke
M9R,Etobicoke
M9V,Etobicoke
M9W,Etobicoke
N0A,Haldimand County
N0B,Alma
N0C,Badjeros
N0E,Burford
N0G,Arthur
N0H,
N0J,Beachville
N0K,Bornholm
N0L,Appin
N0M,Exeter
N0N,Wyoming
N0P,Ridgetown
N0R,Belle River
N1A,Dunnville
N1C,Guelph
N1E,Guelph
N1G,Guelph
N1H,Guelph
N1K,Guelph
N1L,Guelph
N1M,Fergus
N1P,
N1R,Cambridge
N1S,
N1T,Cambridge
N2A,
N2B,Kitchener
N2C,
N2E,Kitchener
N2G,Kitchener
N2H,Kitchener
N2J,Waterloo
N2K,Waterloo
N2L,Waterloo
N2M,Kitchener
N2N,Kitchener
N2P,Kitchener
N2R,Kitchener
N2S,Kitchener
N2T,Waterloo
N2V,Waterloo
N2Z,Kincardine
N3A,
N3B,
N3C,Cambridge
N3E,Cambridge
N3H,Cambridge
N3L,Paris
N3P,Brantford
N3R,Brantford
N3S,Brantford
N3T,Brantford
N3V,Brantford
N3W,Caledonia
N3Y,Midland
N4B,Delhi
N4G,Tillsonburg
N4K,Owen Sound
N4L,Meaford
N4N,Hanover
N4S,Woodstock
N4T,Woodstock
N4V,Woodstock
N4W,Listowel
N4X,St Marys
N4Z,Stratford
N5A,Stratford
N5B,London
N5C,Ingersoll
N5H,Aylmer
N5L,Port Stanley
N5P,St Thomas
N5R,St Thomas
N5V,London
N5W,London
N5X,London
N5Y,London
N5Z,London
N6A,London
N6B,London
N6C,London
N6E,London
N6G,London
N6H,London
N6J,London
N6K,London
N6L,London
N6M,London
N6N,
N6P,London
N7A,Goderich
N7G,Strathroy
N7L,Chatham
N7M,Chatham
N7S,Sarnia
N7T,Sarnia
N7V,
N7W,Sarnia
N7X,Sarnia
N8A,Wallaceburg
N8H,Leamington
N8M,Essex
N8N,Sandwich South
N8P,Windsor
N8R,Windsor
N8S,
N8T,Windsor
N8V,Sandwich South
N8W,Windsor
N8X,Windsor
N8Y,Windsor
N9A,Windsor
N9B,Windsor
N9C,Windsor
N9E,Windsor
N9G,Windsor
N9H,Windsor
N9J,Windsor
N9K,Windsor
N9V,Amherstburg
N9Y,Kingsville
P0A,Novar
P0B,Huntsville
P0C,Mactier
P0E,Hydro Glen
P0G,Britt
P0H,Arnstein
P0J,Charlton
P0K,Chaput Hughes
P0L,Attawapiskat
P0M,Foleyet
P0N,Connaught
P0P,Grand Manitou Island
P0R,Algoma Mills
P0S,Batchawana Bay
P0T,
P0V,Allan Water
P0W,Barwick
P0X,Kenora
P0Y,Ingolf
P1A,North Bay
P1B,North Bay
P1C,North Bay
P1H,Huntsville
P1L,Bracebridge
P1P,Gravenhurst
P2A,Parry Sound
P2B,Sturgeon Falls
P2N,Kirkland Lake
P3A,Sudbury
P3B,Sudbury
P3C,Sudbury
P3E,Sudbury
P3G,Sudbury
P3L,Garson
P3N,Val Caron
P3P,Hanmer
P3Y,Lively
P4N,Timmins
P4P,Timmins
P4R,Timmins
P5A,Elliot Lake
P5E,Espanola
P5N,Kapuskasing
P6A,Sault Ste Marie
P6B,Sault Sainte Marie
P6C,Sault Ste Marie
P7A,Thunder Bay
P7B,Thunder Bay
P7C,Thunder Bay
P7E,
P7G,Thunder Bay
P7J,Thunder Bay
P7K,Thunder Bay
P8N,Dryden
P8T,Sioux Lookout
P9A,Fort Frances
P9N,Kenora
